序号,提交答卷时间,time,来源,来源详情,来自IP,,sex,age,education,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,8、接上题，小明一百道单选题里蒙对了25道题。你觉得他蒙的水平,TF_random_guess,coin_head,illness bad,illness good
43,4/22/2021 19:42,116秒,微信,N/A,223.104.9.234(四川-成都),,1,3,4,5,10,50,30,3,50,50,愿意,愿意
44,4/22/2021 19:47,80秒,手机提交,直接访问,117.136.62.6(四川-成都),,1,3,4,3,50,50,25,3,50,50,无所谓,无所谓
45,4/22/2021 19:49,76秒,手机提交,直接访问,171.88.76.78(四川-成都),,1,3,4,3,50,50,25,3,50,50,不愿意,非常愿意
46,4/22/2021 19:49,119秒,手机提交,直接访问,117.136.63.73(四川-成都),,1,3,4,4,50,75,10,3,35,50,不愿意,愿意
47,4/22/2021 19:54,120秒,手机提交,直接访问,117.136.63.70(四川-成都),,0,3,4,3,50,55,25,3,50,50,愿意,愿意
48,4/22/2021 19:54,202秒,手机提交,直接访问,223.104.9.132(四川-成都),,1,3,4,5,50,50,30,5,55,65,非常愿意,非常愿意
49,4/22/2021 20:00,253秒,微信,N/A,171.210.222.179(四川-成都),,1,3,3,4,30,60,25,3,50,50,无所谓,愿意
50,4/22/2021 20:10,125秒,手机提交,直接访问,117.136.65.119(四川-成都),,1,3,4,3,55,50,25,3,50,50,愿意,不愿意
51,4/22/2021 20:53,170秒,手机提交,直接访问,171.88.73.171(四川-成都),,1,3,4,3,50,50,25,3,50,50,愿意,无所谓
52,4/22/2021 21:51,136秒,手机提交,直接访问,223.104.215.16(四川-成都),,1,3,4,4,30,50,15,3,40,50,无所谓,无所谓
53,4/22/2021 22:12,269秒,手机提交,直接访问,171.88.76.78(四川-成都),,1,3,4,1,25,50,15,3,25,50,无所谓,无所谓
54,4/22/2021 22:14,91秒,手机提交,直接访问,223.104.214.192(四川-宜宾),,0,3,4,3,45,50,35,2,65,50,愿意,无所谓
55,4/23/2021 11:35,139秒,微信,N/A,39.128.236.31(云南-丽江),和春贤（宁蒗4中，云南民族大学经济系）,0,3,4,3,20,50,25,3,50,50,愿意,愿意
56,4/23/2021 11:40,94秒,微信,N/A,117.136.72.71(云南-昆明),,0,3,4,3,50,50,25,3,50,50,愿意,愿意
57,4/23/2021 11:42,167秒,微信,N/A,39.129.24.39(云南-昆明),,0,3,4,3,50,50,40,3,50,50,愿意,愿意
58,4/23/2021 11:43,137秒,微信,N/A,101.249.80.71(西藏-山南),,0,3,4,3,50,50,25,3,50,50,无所谓,愿意
59,4/23/2021 11:44,125秒,微信,N/A,183.225.229.102(云南-丽江),,0,4,4,3,30,30,10,4,40,50,非常愿意,无所谓
60,4/23/2021 11:45,33秒,微信,N/A,220.197.232.145(云南-昆明),,1,4,4,3,15,5,35,3,35,45,无所谓,不愿意
61,4/23/2021 11:45,126秒,微信,N/A,223.104.238.10(云南-大理),,1,3,4,1,50,50,40,5,40,40,无所谓,无所谓
62,4/23/2021 11:45,100秒,微信,N/A,117.136.85.55(云南-昆明),,1,4,4,5,100,50,50,1,50,50,愿意,愿意
63,4/23/2021 11:46,74秒,微信,N/A,39.128.210.136(云南-保山),,0,3,4,2,5,50,50,3,50,50,不愿意,不愿意
64,4/23/2021 11:47,74秒,微信,N/A,117.136.71.177(云南-玉溪),,1,3,4,3,50,50,25,3,50,50,不愿意,愿意
65,4/23/2021 11:48,111秒,微信,N/A,223.104.238.54(云南-大理),,1,3,4,3,50,50,60,1,50,55,无所谓,愿意
66,4/23/2021 11:48,116秒,微信,N/A,223.104.240.254(云南-未知),,1,3,4,2,5,50,5,1,5,55,无所谓,愿意
67,4/23/2021 11:48,121秒,微信,N/A,117.136.71.238(云南-玉溪),,1,3,4,4,50,50,50,1,20,50,愿意,愿意
68,4/23/2021 11:50,97秒,微信,N/A,14.204.0.151(云南-昆明),,0,3,4,2,45,35,25,3,50,55,非常愿意,非常愿意
69,4/23/2021 11:50,149秒,微信,N/A,116.55.111.163(云南-丽江),,0,3,4,2,50,50,25,3,50,50,无所谓,无所谓
70,4/23/2021 11:51,131秒,微信,N/A,117.136.71.243(云南-玉溪),,0,4,4,3,50,50,20,1,50,50,非常不愿意,非常愿意
71,4/23/2021 11:54,113秒,微信,N/A,117.136.85.78(云南-昆明),,0,3,4,2,25,50,25,2,60,50,愿意,无所谓
72,4/23/2021 12:00,959秒,微信,N/A,117.136.85.73(云南-昆明),,0,3,4,1,30,50,25,3,45,50,无所谓,愿意
73,4/23/2021 12:06,112秒,微信,N/A,223.104.216.46(四川-成都),,0,3,4,1,50,50,15,1,50,50,不愿意,愿意
74,4/23/2021 12:55,170秒,微信,N/A,223.104.241.118(云南-未知),,1,3,4,3,35,35,20,4,30,30,无所谓,无所谓
1,4/20/2021 21:58,176秒,微信,N/A,117.136.61.73(河南-郑州),从这往下茹柯耶,1,4,4,4,45,35,15,4,35,45,愿意,愿意
2,4/20/2021 22:04,261秒,微信,N/A,223.104.24.219(贵州-贵阳),,0,4,4,1,30,20,55,4,10,55,愿意,愿意
3,4/20/2021 22:06,93秒,微信,N/A,111.121.102.142(贵州-贵阳),,0,4,4,1,50,50,25,1,50,50,无所谓,无所谓
4,4/20/2021 22:08,102秒,微信,N/A,106.84.162.138(重庆-重庆),,0,4,4,4,10,30,10,3,20,30,愿意,愿意
5,4/20/2021 22:08,394秒,微信,N/A,223.85.182.111(四川-成都),,0,4,4,3,50,50,25,5,50,50,愿意,无所谓
6,4/20/2021 22:13,154秒,微信,N/A,223.87.240.64(四川-成都),,1,4,4,3,30,50,40,4,50,50,愿意,非常愿意
7,4/20/2021 22:14,134秒,微信,N/A,106.59.199.35(云南-昆明),,0,4,4,3,50,50,25,3,50,50,愿意,非常愿意
8,4/20/2021 22:16,144秒,微信,N/A,113.65.210.154(广东-广州),,0,4,4,3,35,35,45,3,35,30,愿意,愿意
9,4/20/2021 22:21,73秒,微信,N/A,101.249.3.15(西藏-拉萨),,0,4,4,2,45,35,45,3,45,35,愿意,非常愿意
10,4/20/2021 22:31,148秒,微信,N/A,223.87.35.244(四川-成都),,0,4,4,2,25,35,25,4,25,45,非常愿意,无所谓
11,4/20/2021 22:35,134秒,微信,N/A,39.128.58.135(云南-大理),,0,4,4,2,50,50,25,3,50,50,不愿意,无所谓
12,4/20/2021 22:38,99秒,微信,N/A,182.150.135.70(四川-成都),,1,4,5,1,50,50,25,1,50,50,不愿意,愿意
13,4/20/2021 22:38,74秒,微信,N/A,36.162.188.203(西藏-山南),,0,4,4,4,30,50,25,4,30,40,无所谓,无所谓
14,4/20/2021 22:40,154秒,微信,N/A,36.108.94.130(新疆-伊犁),,0,4,5,5,30,55,25,3,35,35,愿意,非常愿意
15,4/20/2021 22:49,128秒,微信,N/A,106.59.199.35(云南-昆明),,1,4,3,3,35,40,30,3,45,50,愿意,愿意
16,4/20/2021 23:02,95秒,微信,N/A,223.104.90.93(广西-南宁),,0,4,4,3,55,65,20,3,25,25,不愿意,不愿意
17,4/20/2021 23:03,85秒,微信,N/A,221.13.14.182(贵州-贵阳),,0,3,5,3,50,50,25,3,50,50,愿意,愿意
18,4/20/2021 23:05,102秒,微信,N/A,111.198.245.194(北京-北京),,0,4,4,3,50,50,25,3,50,50,无所谓,无所谓
19,4/20/2021 23:07,148秒,微信,N/A,111.112.82.238(宁夏-银川),,0,4,4,3,50,50,25,3,50,50,愿意,非常愿意
20,4/20/2021 23:10,80秒,微信,N/A,223.104.24.215(贵州-贵阳),,0,3,5,1,50,50,35,3,35,50,愿意,愿意
21,4/20/2021 23:25,77秒,微信,N/A,182.245.35.118(云南-昆明),,0,4,4,3,50,5,35,3,65,55,无所谓,愿意
22,4/21/2021 7:29,101秒,微信,N/A,117.136.54.25(天津-天津),,1,4,4,1,50,50,25,1,25,50,不愿意,非常愿意
23,4/21/2021 7:35,328秒,微信,N/A,117.136.27.62(甘肃-兰州),,1,4,4,2,10,20,20,4,25,30,无所谓,无所谓
24,4/21/2021 8:12,120秒,微信,N/A,218.90.214.13(江苏-泰州),,0,4,4,1,50,50,25,3,50,50,无所谓,愿意
25,4/21/2021 10:04,283秒,微信,N/A,36.112.196.10(北京-北京),,0,4,4,3,5,50,5,4,50,50,愿意,愿意
26,4/21/2021 10:49,105秒,微信,N/A,117.136.65.64(四川-成都),,0,4,5,1,50,50,25,2,50,50,无所谓,无所谓
27,4/21/2021 11:02,86秒,微信,N/A,58.44.202.10(湖南-湘西),,0,4,4,3,25,55,35,4,25,25,愿意,愿意
28,4/21/2021 11:06,131秒,微信,N/A,39.144.73.138(宁夏-银川),,0,3,4,1,20,20,45,3,30,25,不愿意,不愿意
29,4/21/2021 11:10,153秒,微信,N/A,113.247.178.47(湖南-长沙),,1,3,5,2,25,50,25,2,25,50,不愿意,无所谓
30,4/21/2021 11:20,170秒,微信,N/A,117.145.22.162(新疆-和田),,0,4,4,2,50,50,25,3,50,50,愿意,愿意
31,4/21/2021 11:38,148秒,微信,N/A,36.162.179.159(西藏-山南),,1,4,4,3,35,40,10,4,40,45,愿意,非常愿意
